inventory_id,product_id,warehouse_id,stock_quantity,reorder_level,last_updated
INV000087,P0052,W05,238,41,2026-07-13
INV000088,P0143,W02,443,69,2026-07-27
INV000089,P0242,W02,173,79,2026-07-15
INV000090,P0796,W07,44,65,2026-07-15
INV000091,P0296,W04,179,61,2026-07-21
INV000092,P0111,W04,195,52,2026-07-26
INV000093,P0614,W04,321,22,2026-07-31
INV000094,P0104,W07,410,99,2026-07-22
INV000095,P0290,W06,453,37,2026-07-19
INV000096,P0753,W07,225,40,2026-07-10
INV000097,P0650,W04,148,82,2026-07-28
INV000098,P0033,W02,158,98,2026-07-06
INV000099,P0461,W02,489,26,2026-07-26
INV000100,P0167,W07,315,83,2026-07-26
INV000101,P0319,W03,259,99,2026-07-27
INV000102,P0024,W07,203,92,2026-07-02
INV000103,P0279,W07,122,100,2026-07-14
INV000104,P0291,W04,31,52,2026-07-09
INV000105,P0747,W08,391,97,2026-07-14
INV000106,P0668,W08,475,78,2026-07-21
INV000107,P0097,W06,225,69,2026-07-02
INV000108,P0418,W08,404,20,2026-07-01
INV000109,P0771,W02,89,90,2026-07-01
INV000110,P0023,W03,153,45,2026-07-03
INV000111,P0570,W02,481,24,2026-07-01
INV000112,P0628,W03,372,66,2026-07-23
INV000113,P0222,W04,159,48,2026-07-13
INV000114,P0347,W05,229,21,2026-07-06
INV000115,P0576,W02,329,72,2026-07-06
INV000116,P0681,W04,196,62,2026-07-27
INV000117,P0582,W06,217,79,2026-07-23
INV000118,P0640,W08,32,55,2026-07-23
INV000119,P0687,W07,262,67,2026-07-15
INV000120,P0275,W05,172,40,2026-07-17
INV000121,P0558,W03,163,26,2026-07-29
INV000122,P0559,W04,441,46,2026-07-31
INV000123,P0642,W07,238,86,2026-07-02
INV000124,P0677,W03,84,79,2026-07-29
INV000125,P0197,W06,176,88,2026-07-15
INV000126,P0596,W08,228,38,2026-07-30
INV000127,P0635,W08,77,63,2026-07-14
INV000128,P0597,W04,413,81,2026-07-10
INV000129,P0424,W07,125,94,2026-07-28
INV000130,P0725,W05,324,24,2026-07-12
INV000131,P0324,W04,249,43,2026-07-17
INV000132,P0382,W04,290,50,2026-07-22
INV000133,P0076,W04,156,20,2026-07-08
INV000134,P0715,W07,23,80,2026-07-22
INV000135,P0205,W08,236,30,2026-07-11
INV000136,P0049,W07,37,51,2026-07-21
INV000137,P0542,W01,398,69,2026-07-30
INV000138,P0277,W01,26,43,2026-07-31
INV000139,P0525,W01,252,45,2026-07-07
INV000140,P0555,W04,460,26,2026-07-10
INV000141,P0050,W05,252,97,2026-07-10
INV000142,P0757,W02,216,34,2026-07-05
INV000143,P0233,W07,190,40,2026-07-18
INV000144,P0640,W04,389,98,2026-07-07
INV000145,P0234,W06,252,60,2026-07-24
INV000146,P0460,W05,459,57,2026-07-12
INV000147,P0553,W03,180,78,2026-07-29
INV000148,P0275,W03,114,83,2026-07-26
INV000149,P0463,W03,15,53,2026-07-30
INV000150,P0241,W04,143,62,2026-07-07
INV000151,P0017,W04,314,67,2026-07-04
INV000152,P0592,W05,199,88,2026-07-16
INV000153,P0537,W08,352,34,2026-07-08
INV000154,P0632,W06,478,23,2026-07-08
INV000155,P0695,W06,137,47,2026-07-07
INV000156,P0435,W07,181,86,2026-07-21
INV000157,P0743,W02,312,51,2026-07-06
INV000158,P0762,W01,309,69,2026-07-14
INV000159,P0465,W03,484,32,2026-07-14
INV000160,P0175,W06,347,75,2026-07-31
INV000161,P0566,W06,228,88,2026-07-18
INV000162,P0264,W04,152,78,2026-07-11
INV000163,P0574,W06,3,90,2026-07-29
INV000164,P0051,W07,32,24,2026-07-11
INV000165,P0688,W08,77,73,2026-07-21
INV000166,P0714,W06,421,38,2026-07-17
INV000167,P0699,W05,202,30,2026-07-11
INV000168,P0597,W07,164,58,2026-07-08
INV000169,P0589,W02,378,22,2026-07-12
INV000170,P0085,W01,219,66,2026-07-14
INV000171,P0664,W07,472,100,2026-07-30
INV000172,P0450,W04,267,37,2026-07-06
INV000173,P0396,W06,182,92,2026-07-20
INV000174,P0680,W04,107,33,2026-07-27
INV000175,P0137,W04,61,65,2026-07-06
INV000176,P0251,W01,337,22,2026-07-11
INV000177,P0086,W07,404,72,2026-07-21
INV000178,P0363,W03,418,46,2026-07-30
INV000179,P0304,W04,34,92,2026-07-09
INV000180,P0387,W06,380,78,2026-07-10
INV000181,P0637,W02,214,57,2026-07-22
INV000182,P0521,W05,423,70,2026-07-30
INV000183,P0191,W05,381,48,2026-07-23
INV000184,P0122,W05,450,45,2026-07-11
INV000185,P0446,W01,122,52,2026-07-03
INV000186,P0072,W05,219,43,2026-07-12
INV000187,P0588,W06,384,55,2026-07-04
INV000188,P0153,W01,345,97,2026-07-09
INV000189,P0627,W04,4,63,2026-07-22
INV000190,P0772,W06,108,55,2026-07-02
INV000191,P0666,W01,303,59,2026-07-14
INV000192,P0465,W05,269,22,2026-07-30
INV000193,P0282,W02,45,58,2026-07-11
INV000194,P0468,W06,415,47,2026-07-08
INV000195,P0607,W06,344,28,2026-07-12
INV000196,P0657,W08,138,74,2026-07-01
INV000197,P0426,W08,454,84,2026-07-01
INV000198,P0555,W04,47,43,2026-07-09
INV000199,P0445,W06,101,20,2026-07-16
INV000200,P0739,W03,379,42,2026-07-19
INV000201,P0772,W06,171,38,2026-07-03
INV000202,P0322,W08,487,41,2026-07-30
INV000203,P0727,W04,50,53,2026-07-18
INV000204,P0564,W08,322,63,2026-07-12
INV000205,P0375,W07,259,53,2026-07-04
INV000206,P0194,W03,486,87,2026-07-18
INV000207,P0570,W08,171,69,2026-07-29
INV000208,P0607,W01,463,90,2026-07-24
INV000209,P0783,W06,395,70,2026-07-20
INV000210,P0131,W01,488,39,2026-07-18
INV000211,P0654,W04,175,37,2026-07-25
INV000212,P0520,W08,193,81,2026-07-25
INV000213,P0337,W07,496,75,2026-07-16
INV000214,P0222,W02,189,100,2026-07-26
INV000215,P0557,W05,63,79,2026-07-04
INV000216,P0281,W08,314,68,2026-07-31
INV000217,P0571,W06,41,96,2026-07-29
INV000218,P0750,W01,238,70,2026-07-23
INV000219,P0370,W02,191,38,2026-07-01
INV000220,P0797,W04,168,24,2026-07-17
INV000221,P0226,W07,269,72,2026-07-01
INV000222,P0445,W08,481,87,2026-07-09
INV000223,P0318,W07,133,30,2026-07-04
INV000224,P0244,W06,337,87,2026-07-21
INV000225,P0651,W03,449,81,2026-07-22
INV000226,P0007,W01,330,68,2026-07-20
INV000227,P0573,W03,44,96,2026-07-05
INV000228,P0622,W01,77,56,2026-07-11
INV000229,P0032,W08,195,43,2026-07-10
INV000230,P0545,W07,138,53,2026-07-19
INV000231,P0785,W02,436,64,2026-07-19
INV000232,P0696,W06,50,78,2026-07-16
INV000233,P0277,W04,146,26,2026-07-05
INV000234,P0082,W08,411,27,2026-07-29
INV000235,P0174,W01,212,48,2026-07-29
INV000236,P0275,W04,86,48,2026-07-10
INV000237,P0525,W07,99,53,2026-07-30
INV000238,P0089,W06,397,40,2026-07-04
INV000239,P0215,W07,245,59,2026-07-04
INV000240,P0658,W08,439,34,2026-07-09
INV000241,P0311,W06,381,99,2026-07-01
INV000242,P0477,W02,125,91,2026-07-09
INV000243,P0342,W07,266,55,2026-07-12
INV000244,P0568,W07,45,75,2026-07-27
INV000245,P0164,W05,434,84,2026-07-09
INV000246,P0797,W04,406,90,2026-07-17
INV000247,P0637,W04,372,49,2026-07-23
INV000248,P0043,W05,146,92,2026-07-24
INV000249,P0560,W02,420,86,2026-07-23
INV000250,P0628,W06,427,86,2026-07-04
INV000251,P0146,W04,383,85,2026-07-22
INV000252,P0641,W07,232,48,2026-07-31
INV000253,P0608,W08,306,69,2026-07-01
INV000254,P0028,W07,369,20,2026-07-21
INV000255,P0499,W01,148,93,2026-07-19
INV000256,P0037,W04,106,40,2026-07-24
INV000257,P0751,W07,100,33,2026-07-06
INV000258,P0685,W06,487,33,2026-07-25
INV000259,P0684,W08,224,74,2026-07-20
INV000260,P0544,W04,343,72,2026-07-28
INV000261,P0486,W02,474,50,2026-07-19
INV000262,P0020,W06,438,27,2026-07-17
INV000263,P0334,W05,78,55,2026-07-02
INV000264,P0123,W03,396,84,2026-07-06
INV000265,P0494,W04,44,67,2026-07-10
INV000266,P0153,W02,431,36,2026-07-12
INV000267,P0528,W08,26,71,2026-07-11
INV000268,P0474,W01,92,53,2026-07-09
INV000269,P0741,W06,76,27,2026-07-31
INV000270,P0597,W02,151,86,2026-07-04
INV000271,P0566,W06,151,88,2026-07-02
INV000272,P0667,W06,351,21,2026-07-02
INV000273,P0736,W06,47,75,2026-07-17
INV000274,P0383,W01,162,37,2026-07-25
INV000275,P0586,W04,170,52,2026-07-04
INV000276,P0023,W08,457,48,2026-07-15
INV000277,P0154,W01,270,85,2026-07-05
INV000278,P0187,W06,228,53,2026-07-13
INV000279,P0321,W05,327,52,2026-07-17
INV000280,P0041,W07,101,53,2026-07-27
INV000281,P0303,W07,262,25,2026-07-06
INV000282,P0244,W05,12,82,2026-07-01
INV000283,P0185,W07,475,76,2026-07-31
INV000284,P0739,W03,389,74,2026-07-02
INV000285,P0111,W01,424,50,2026-07-17
INV000286,P0120,W05,161,99,2026-07-01
INV000287,P0618,W08,6,78,2026-07-21
INV000288,P0539,W03,149,90,2026-07-23
INV000289,P0084,W05,292,57,2026-07-10
INV000290,P0097,W02,60,70,2026-07-25
INV000291,P0724,W05,289,72,2026-07-09
INV000292,P0641,W05,334,89,2026-07-19
INV000293,P0688,W08,486,25,2026-07-20
INV000294,P0427,W05,294,68,2026-07-11
INV000295,P0266,W06,316,26,2026-07-02
INV000296,P0022,W01,250,51,2026-07-12
INV000297,P0047,W02,169,47,2026-07-09
INV000298,P0541,W05,71,94,2026-07-26
INV000299,P0699,W02,488,59,2026-07-18
INV000300,P0597,W08,268,48,2026-07-27
INV000301,P0602,W01,314,20,2026-07-19
INV000302,P0029,W08,58,77,2026-07-02
INV000303,P0130,W01,90,85,2026-07-02
INV000304,P0695,W02,114,51,2026-07-28
INV000305,P0137,W08,266,21,2026-07-20
INV000306,P0118,W02,456,92,2026-07-26
INV000307,P0112,W05,261,90,2026-07-07
INV000308,P0475,W08,427,46,2026-07-26
INV000309,P0358,W07,468,83,2026-07-03
INV000310,P0640,W05,309,63,2026-07-30
INV000311,P0346,W07,281,43,2026-07-03
INV000312,P0746,W01,210,97,2026-07-02
INV000313,P0549,W05,453,23,2026-07-07
INV000314,P0558,W08,163,46,2026-07-22
INV000315,P0372,W07,193,39,2026-07-07
INV000316,P0696,W06,156,69,2026-07-15
INV000317,P0769,W06,410,48,2026-07-25
INV000318,P0554,W04,225,83,2026-07-20
INV000319,P0134,W06,242,56,2026-07-02
INV000320,P0776,W06,229,94,2026-07-07
INV000321,P0469,W07,419,20,2026-07-26
INV000322,P0152,W06,188,38,2026-07-19
INV000323,P0781,W01,20,36,2026-07-29
INV000324,P0262,W07,33,57,2026-07-03
INV000325,P0150,W03,423,63,2026-07-31
INV000326,P0573,W01,130,85,2026-07-29
INV000327,P0270,W06,378,34,2026-07-04
INV000328,P0004,W06,186,94,2026-07-13
INV000329,P0499,W03,358,86,2026-07-16
INV000330,P0548,W05,39,87,2026-07-30
INV000331,P0371,W07,236,87,2026-07-17
INV000332,P0416,W04,89,33,2026-07-13
INV000333,P0172,W04,299,37,2026-07-14
INV000334,P0363,W08,398,43,2026-07-25
INV000335,P0259,W05,131,44,2026-07-17
INV000336,P0055,W08,227,56,2026-07-09
INV000337,P0186,W02,150,96,2026-07-11
INV000338,P0046,W05,344,77,2026-07-20
INV000339,P0266,W08,343,72,2026-07-10
INV000340,P0316,W02,176,26,2026-07-23
INV000341,P0497,W06,475,86,2026-07-11
INV000342,P0201,W03,223,69,2026-07-05
INV000343,P0358,W03,406,91,2026-07-16
INV000344,P0735,W02,219,97,2026-07-23
INV000345,P0297,W05,462,52,2026-07-06
INV000346,P0666,W05,306,91,2026-07-16
INV000347,P0588,W07,121,62,2026-07-16
INV000348,P0530,W05,196,28,2026-07-04
INV000349,P0776,W04,271,53,2026-07-11
INV000350,P0091,W04,454,20,2026-07-31
INV000351,P0767,W03,309,98,2026-07-25
INV000352,P0590,W01,120,23,2026-07-07
INV000353,P0763,W08,68,23,2026-07-31
INV000354,P0624,W06,212,40,2026-07-12
INV000355,P0031,W06,254,66,2026-07-21
INV000356,P0146,W02,133,92,2026-07-16
INV000357,P0265,W03,479,28,2026-07-02
INV000358,P0433,W07,142,69,2026-07-15
INV000359,P0440,W04,224,70,2026-07-02
INV000360,P0480,W07,394,22,2026-07-14
INV000361,P0719,W05,68,27,2026-07-23
INV000362,P0137,W03,378,43,2026-07-21
INV000363,P0354,W06,493,36,2026-07-21
INV000364,P0237,W05,63,68,2026-07-23
INV000365,P0294,W08,294,90,2026-07-21
INV000366,P0315,W08,324,52,2026-07-01
INV000367,P0118,W01,247,72,2026-07-17
INV000368,P0118,W04,9,28,2026-07-31
INV000369,P0005,W04,167,69,2026-07-22
INV000370,P0088,W05,306,100,2026-07-21
INV000371,P0652,W05,373,97,2026-07-06
INV000372,P0195,W07,60,35,2026-07-29
INV000373,P0668,W07,235,82,2026-07-26
INV000374,P0267,W08,472,79,2026-07-07
INV000375,P0073,W04,327,47,2026-07-09
INV000376,P0735,W02,52,81,2026-07-26
INV000377,P0047,W03,417,79,2026-07-05
INV000378,P0579,W04,170,64,2026-07-19
INV000379,P0485,W04,79,84,2026-07-25
INV000380,P0407,W08,33,80,2026-07-21
INV000381,P0511,W06,389,27,2026-07-06
INV000382,P0275,W04,307,95,2026-07-04
INV000383,P0145,W01,424,71,2026-07-22
INV000384,P0079,W06,173,97,2026-07-17
INV000385,P0599,W03,478,87,2026-07-07
INV000386,P0465,W08,440,65,2026-07-06
INV000387,P0741,W03,478,44,2026-07-28
INV000388,P0357,W07,182,64,2026-07-03
INV000389,P0752,W06,475,35,2026-07-19
INV000390,P0146,W08,329,62,2026-07-25
INV000391,P0711,W05,48,20,2026-07-14
INV000392,P0497,W06,263,65,2026-07-17
INV000393,P0770,W04,140,68,2026-07-05
INV000394,P0336,W01,149,34,2026-07-19
INV000395,P0785,W02,35,34,2026-07-25
INV000396,P0412,W01,93,84,2026-07-04
INV000397,P0181,W06,299,65,2026-07-09
INV000398,P0175,W06,25,54,2026-07-21
INV000399,P0251,W05,150,37,2026-07-14
INV000400,P0686,W03,11,54,2026-07-16
INV000401,P0093,W05,439,88,2026-07-19
INV000402,P0034,W01,131,94,2026-07-10
INV000403,P0764,W08,300,66,2026-07-07
INV000404,P0305,W04,432,50,2026-07-02
INV000405,P0386,W07,216,71,2026-07-02
INV000406,P0284,W06,397,39,2026-07-25
INV000407,P0237,W07,368,93,2026-07-05
INV000408,P0224,W03,391,41,2026-07-02
INV000409,P0381,W01,93,65,2026-07-27
INV000410,P0549,W01,77,91,2026-07-25
INV000411,P0639,W05,219,90,2026-07-31
INV000412,P0200,W01,406,62,2026-07-08
INV000413,P0487,W05,427,22,2026-07-19
INV000414,P0539,W07,216,84,2026-07-04
INV000415,P0620,W07,141,86,2026-07-26
INV000416,P0786,W07,400,55,2026-07-22
INV000417,P0443,W07,160,92,2026-07-25
INV000418,P0205,W06,82,51,2026-07-17
INV000419,P0374,W08,365,32,2026-07-28
INV000420,P0167,W02,331,39,2026-07-06
INV000421,P0683,W08,450,20,2026-07-04
INV000422,P0103,W03,330,48,2026-07-25
INV000423,P0348,W08,121,82,2026-07-22
INV000424,P0733,W04,305,49,2026-07-29
INV000425,P0192,W06,390,24,2026-07-03
INV000426,P0624,W03,80,80,2026-07-22
INV000427,P0098,W07,458,80,2026-07-27
INV000428,P0662,W01,115,35,2026-07-01
INV000429,P0335,W04,369,83,2026-07-04
INV000430,P0788,W01,495,95,2026-07-17
INV000431,P0151,W01,447,60,2026-07-31
INV000432,P0254,W04,481,78,2026-07-29
INV000433,P0693,W08,171,48,2026-07-03
INV000434,P0160,W05,425,77,2026-07-24
INV000435,P0609,W05,125,48,2026-07-03
INV000436,P0374,W03,41,71,2026-07-14
INV000437,P0264,W05,375,56,2026-07-27
INV000438,P0347,W01,326,79,2026-07-22
INV000439,P0264,W03,445,29,2026-07-16
INV000440,P0530,W08,265,49,2026-07-01
INV000441,P0051,W06,465,80,2026-07-12
INV000442,P0176,W06,254,67,2026-07-30
INV000443,P0701,W04,194,56,2026-07-20
INV000444,P0697,W03,284,97,2026-07-31
INV000445,P0407,W07,448,91,2026-07-03
INV000446,P0009,W07,335,49,2026-07-01
INV000447,P0018,W08,411,41,2026-07-04
INV000448,P0573,W03,388,70,2026-07-23
INV000449,P0353,W04,370,62,2026-07-28
INV000450,P0783,W04,277,40,2026-07-04
INV000451,P0530,W02,14,89,2026-07-31
INV000452,P0576,W07,388,56,2026-07-05
INV000453,P0633,W05,341,49,2026-07-06
INV000454,P0081,W05,238,57,2026-07-19
INV000455,P0234,W06,130,93,2026-07-10
INV000456,P0119,W01,313,83,2026-07-24
INV000457,P0381,W08,373,82,2026-07-22
INV000458,P0760,W07,335,95,2026-07-17
INV000459,P0493,W07,414,22,2026-07-18
INV000460,P0458,W01,312,95,2026-07-20
INV000461,P0761,W04,187,54,2026-07-23
INV000462,P0166,W08,463,74,2026-07-29
INV000463,P0130,W04,42,79,2026-07-30
INV000464,P0649,W08,18,82,2026-07-15
INV000465,P0134,W04,338,24,2026-07-22
INV000466,P0637,W07,220,94,2026-07-10
INV000467,P0110,W07,491,43,2026-07-02
INV000468,P0256,W02,181,94,2026-07-04
INV000469,P0338,W08,100,33,2026-07-10
INV000470,P0193,W01,182,97,2026-07-13
INV000471,P0118,W07,9,66,2026-07-01
INV000472,P0371,W01,126,62,2026-07-03
INV000473,P0782,W04,500,85,2026-07-23
INV000474,P0411,W01,148,22,2026-07-01
INV000475,P0574,W02,291,91,2026-07-05
INV000476,P0169,W03,279,51,2026-07-05
INV000477,P0569,W01,5,71,2026-07-11
INV000478,P0360,W07,153,41,2026-07-09
INV000479,P0327,W02,305,77,2026-07-06
INV000480,P0242,W07,52,38,2026-07-10
INV000481,P0171,W03,330,42,2026-07-14
INV000482,P0104,W07,224,50,2026-07-08
INV000483,P0407,W07,22,67,2026-07-07
INV000484,P0534,W05,130,60,2026-07-06
INV000485,P0302,W01,327,61,2026-07-28
INV000486,P0300,W02,112,40,2026-07-07
INV000487,P0461,W02,182,50,2026-07-12
INV000488,P0476,W06,117,97,2026-07-23
INV000489,P0306,W06,334,66,2026-07-20
INV000490,P0130,W02,368,61,2026-07-23
INV000491,P0641,W02,399,60,2026-07-10
INV000492,P0484,W04,195,66,2026-07-07
INV000493,P0091,W04,100,71,2026-07-13
INV000494,P0348,W03,342,20,2026-07-08
INV000495,P0327,W05,207,31,2026-07-05
INV000496,P0528,W01,183,100,2026-07-10
INV000497,P0241,W02,481,46,2026-07-29
INV000498,P0138,W03,189,100,2026-07-11
INV000499,P0434,W01,25,33,2026-07-02
INV000500,P0116,W05,349,63,2026-07-10
INV000501,P0496,W04,219,55,2026-07-28
INV000502,P0228,W08,133,85,2026-07-25
INV000503,P0145,W07,68,47,2026-07-05
INV000504,P0583,W07,472,32,2026-07-18
INV000505,P0758,W02,258,70,2026-07-07
INV000506,P0361,W02,72,53,2026-07-15
INV000507,P0006,W05,374,44,2026-07-04
INV000508,P0656,W03,131,24,2026-07-05
INV000509,P0654,W02,146,27,2026-07-20
INV000510,P0597,W02,367,56,2026-07-26
INV000511,P0602,W03,47,53,2026-07-03
INV000512,P0449,W02,11,30,2026-07-20
INV000513,P0094,W06,145,26,2026-07-06
INV000514,P0157,W05,404,89,2026-07-24
INV000515,P0063,W07,128,42,2026-07-01
INV000516,P0318,W07,99,46,2026-07-22
INV000517,P0175,W01,346,27,2026-07-23
INV000518,P0192,W07,262,47,2026-07-19
INV000519,P0474,W01,15,78,2026-07-07
INV000520,P0276,W06,98,88,2026-07-22
INV000521,P0117,W01,59,51,2026-07-29
INV000522,P0435,W02,484,30,2026-07-27
INV000523,P0795,W06,457,25,2026-07-28
INV000524,P0765,W07,158,76,2026-07-27
INV000525,P0364,W07,380,70,2026-07-04
INV000526,P0199,W07,36,30,2026-07-02
INV000527,P0492,W07,390,100,2026-07-25
INV000528,P0270,W08,115,57,2026-07-02
INV000529,P0644,W04,219,32,2026-07-26
INV000530,P0693,W05,18,71,2026-07-04
INV000531,P0283,W06,487,54,2026-07-14
INV000532,P0788,W01,421,26,2026-07-17
INV000533,P0103,W02,258,57,2026-07-13
INV000534,P0325,W01,104,36,2026-07-31
INV000535,P0025,W08,249,42,2026-07-13
INV000536,P0757,W02,168,75,2026-07-27
INV000537,P0560,W05,314,49,2026-07-22
INV000538,P0250,W02,331,56,2026-07-30
INV000539,P0454,W07,268,55,2026-07-25
INV000540,P0414,W04,484,89,2026-07-18
INV000541,P0236,W05,279,73,2026-07-21
INV000542,P0214,W01,36,87,2026-07-30
INV000543,P0566,W05,159,62,2026-07-28
INV000544,P0707,W01,355,40,2026-07-12
INV000545,P0158,W05,113,34,2026-07-05
INV000546,P0795,W06,139,49,2026-07-04
INV000547,P0233,W01,481,50,2026-07-12
INV000548,P0184,W05,230,42,2026-07-21
INV000549,P0204,W01,5,68,2026-07-15
INV000550,P0190,W03,166,41,2026-07-27
INV000551,P0295,W05,93,46,2026-07-08
INV000552,P0683,W02,332,31,2026-07-07
INV000553,P0192,W08,458,81,2026-07-07
INV000554,P0284,W03,61,76,2026-07-14
INV000555,P0742,W08,444,92,2026-07-29
INV000556,P0489,W01,443,97,2026-07-20
INV000557,P0687,W05,186,41,2026-07-27
INV000558,P0144,W01,168,93,2026-07-23
INV000559,P0492,W05,343,66,2026-07-11
INV000560,P0312,W03,359,80,2026-07-24
INV000561,P0225,W01,177,86,2026-07-04
INV000562,P0421,W04,368,100,2026-07-27
INV000563,P0010,W02,326,86,2026-07-26
INV000564,P0234,W03,458,86,2026-07-04
INV000565,P0365,W06,234,42,2026-07-14
INV000566,P0458,W07,340,86,2026-07-16
INV000567,P0797,W08,206,24,2026-07-11
INV000568,P0619,W02,367,37,2026-07-21
INV000569,P0463,W08,441,37,2026-07-17
INV000570,P0564,W03,129,74,2026-07-07
INV000571,P0356,W06,359,97,2026-07-07
INV000572,P0149,W02,30,99,2026-07-18
INV000573,P0340,W06,198,61,2026-07-27
INV000574,P0493,W07,279,21,2026-07-04
INV000575,P0510,W03,482,96,2026-07-21
INV000576,P0176,W07,259,89,2026-07-23
INV000577,P0798,W06,42,65,2026-07-12
INV000578,P0647,W02,300,70,2026-07-11
INV000579,P0450,W02,209,98,2026-07-04
INV000580,P0785,W08,458,39,2026-07-28
INV000581,P0782,W04,59,52,2026-07-23
INV000582,P0027,W05,62,62,2026-07-08
INV000583,P0359,W05,451,86,2026-07-04
INV000584,P0193,W08,22,43,2026-07-14
INV000585,P0787,W03,28,22,2026-07-28
INV000586,P0348,W03,25,98,2026-07-08
INV000587,P0354,W08,149,56,2026-07-29
INV000588,P0067,W02,146,72,2026-07-29
INV000589,P0607,W06,348,25,2026-07-29
INV000590,P0488,W02,363,58,2026-07-03
INV000591,P0383,W01,421,52,2026-07-14
INV000592,P0360,W08,67,29,2026-07-04
INV000593,P0566,W08,411,38,2026-07-17
INV000594,P0724,W05,104,62,2026-07-20
INV000595,P0479,W01,99,67,2026-07-13
INV000596,P0354,W02,35,73,2026-07-28
INV000597,P0613,W07,1,83,2026-07-26
INV000598,P0507,W05,384,23,2026-07-08
INV000599,P0113,W01,191,97,2026-07-22
INV000600,P0343,W04,91,66,2026-07-23
INV000601,P0013,W06,267,23,2026-07-09
INV000602,P0685,W03,193,77,2026-07-05
INV000603,P0442,W07,198,91,2026-07-05
INV000604,P0754,W05,385,95,2026-07-27
INV000605,P0283,W08,137,68,2026-07-20
